,Date,Annee,Mois,Jour,jour_sem,Code INSEE région,Consommation (MW),jour férié,Région,Température (°C),PERIODE,Prix
53,2013-01-05,2013,1,5,5,44,129818.0,0,Grand Est,6.0,2013-01,14.4019
54,2013-01-05,2013,1,5,5,52,82368.0,0,Pays de la Loire,6.0,2013-01,14.4019
55,2013-01-05,2013,1,5,5,53,68838.0,0,Bretagne,7.0,2013-01,14.4019
56,2013-01-05,2013,1,5,5,75,138340.0,0,Nouvelle-Aquitaine,6.0,2013-01,14.4019
57,2013-01-05,2013,1,5,5,76,118717.0,0,Occitanie,6.0,2013-01,14.4019
58,2013-01-05,2013,1,5,5,84,198577.0,0,Auvergne-Rhône-Alpes,5.0,2013-01,14.4019
59,2013-01-05,2013,1,5,5,93,133662.0,0,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
60,2013-01-06,2013,1,6,6,11,215385.0,0,Île-de-France,7.0,2013-01,14.4019
61,2013-01-06,2013,1,6,6,24,56080.0,0,Centre-Val de Loire,6.0,2013-01,14.4019
62,2013-01-06,2013,1,6,6,27,59268.0,0,Bourgogne-Franche-Comté,5.0,2013-01,14.4019
63,2013-01-06,2013,1,6,6,28,88075.0,0,Normandie,5.0,2013-01,14.4019
64,2013-01-06,2013,1,6,6,32,141286.0,0,Hauts-de-France,7.0,2013-01,14.4019
65,2013-01-06,2013,1,6,6,44,122044.0,0,Grand Est,6.0,2013-01,14.4019
66,2013-01-06,2013,1,6,6,52,81708.0,0,Pays de la Loire,5.0,2013-01,14.4019
67,2013-01-06,2013,1,6,6,53,67267.0,0,Bretagne,6.0,2013-01,14.4019
68,2013-01-06,2013,1,6,6,75,137579.0,0,Nouvelle-Aquitaine,5.0,2013-01,14.4019
69,2013-01-06,2013,1,6,6,76,116184.0,0,Occitanie,5.0,2013-01,14.4019
70,2013-01-06,2013,1,6,6,84,191344.0,0,Auvergne-Rhône-Alpes,5.0,2013-01,14.4019
71,2013-01-06,2013,1,6,6,93,128627.0,0,Provence-Alpes-Côte d'Azur,7.0,2013-01,14.4019
72,2013-01-07,2013,1,7,0,11,247837.0,0,Île-de-France,6.0,2013-01,14.4019
73,2013-01-07,2013,1,7,0,24,66535.0,0,Centre-Val de Loire,5.0,2013-01,14.4019
74,2013-01-07,2013,1,7,0,27,72107.0,0,Bourgogne-Franche-Comté,4.0,2013-01,14.4019
75,2013-01-07,2013,1,7,0,28,102158.0,0,Normandie,4.0,2013-01,14.4019
76,2013-01-07,2013,1,7,0,32,163665.0,0,Hauts-de-France,5.0,2013-01,14.4019
